Year,New York Market Price (U.S. dollars per fine ounce),Gold/Silver Price Ratio (ounces of silver per ounce of gold),London Market Price (British &pound; [1718-1949] or U.S. $ [1950-2011] per fine ounce)
1900,21,33,4
1901,21,35,4
1902,21,39,4
1903,21,38,4
1904,21,36,4
1905,21,34,4
1906,21,31,4
1907,21,31,4
1908,21,39,4
1909,21,40,4
1910,21,38,4
1911,21,38,4
1912,21,34,4
1913,21,34,4
1914,21,37,4
1915,21,40,4
1916,21,31,4
1917,21,25,4
1918,21,21,4
1919,21,18,5
1920,21,20,6
1921,21,33,5
1922,21,30,5
1923,21,32,5
1924,21,31,5
1925,21,30,4
1926,21,33,4
1927,21,36,4
1928,21,35,4
1929,21,39,4
1930,21,54,4
1931,21,71,5
1932,21,73,6
1933,24,70,6
1934,35,72,7
1935,35,54,7
1936,35,77,7
1937,35,77,7
1938,35,80,7
1939,35,89,8
1940,35,100,8
1941,35,100,8
1942,35,91,8
1943,35,78,8
1944,35,78,8
1945,35,67,8
1946,35,44,8
1947,35,49,8
1948,35,47,8
1949,35,49,8
1950,35,47,35
1951,35,39,35
1952,35,41,35
1953,35,41,35
1954,35,41,35
1955,35,39,35
1956,35,39,35
1957,35,39,35
1958,35,39,35
1959,35,38,35
1960,35,38,35
1961,35,38,35
1962,35,32,35
1963,35,27,35
1964,35,27,35
1965,35,27,35
1966,35,27,35
1967,35,23,35
1968,39,18,39
1969,42,23,41
1970,36,21,36
1971,41,27,41
1972,59,35,58
1973,98,38,97
1974,160,34,159
1975,161,37,161
1976,125,29,125
1977,148,32,148
1978,194,36,193
1979,308,28,307
1980,613,30,613
1981,460,44,460
1982,376,47,376
1983,424,37,424
1984,361,44,360
1985,318,52,317
1986,368,67,368
1987,448,64,446
1988,438,67,437
1989,383,69,381
1990,385,80,383
1991,363,90,362
1992,345,87,344
1993,361,84,360
1994,385,73,384
1995,386,75,384
1996,389,75,388
1997,332,68,331
1998,295,53,294
1999,280,53,279
2000,280,56,279
2001,272,62,271
2002,311,67,310
2003,365,74,363
2004,411,61,409
2005,446,61,444
2006,606,52,604
2007,699,52,695
2008,874,58,872
2009,975,66,972
2010,1227,61,1225
2011,1572,45,1572
2012,1700,54,1669
2013,1415,59,1411
2014,1269,66,1266
2015,1163,74,1160
2016,1252,73,1251
2017,1260,74,1257
2018,1270,81,1269
2019,1390,86,1393
2020,1770,86,1772
2021,1800,72,1799
2022,1800,83,1801
2023,1940,80,1941