DATE,POPULATION
1/1/1900,1670635648 
1/1/1910,1800219392 
1/1/1920,1927857152 
1/1/1930,2106406144 
1/1/1940,2328460032 
1/1/1950,2493092843 
1/1/1951,2536927039 
1/1/1952,2584086332 
1/1/1953,2634106246 
1/1/1954,2685894869 
1/1/1955,2740213784 
1/1/1956,2795409978 
1/1/1957,2852618346 
1/1/1958,2911249658 
1/1/1959,2965950358 
1/1/1960,3015470890 
1/1/1961,3064869656 
1/1/1962,3123374299 
1/1/1963,3192807820 
1/1/1964,3264487340 
1/1/1965,3334533717 
1/1/1966,3404041107 
1/1/1967,3473412894 
1/1/1968,3545187239 
1/1/1969,3619491592 
1/1/1970,3694683801 
1/1/1971,3769847834 
1/1/1972,3844917687 
1/1/1973,3920805030 
1/1/1974,3996416108 
1/1/1975,4070735264 
1/1/1976,4144246391 
1/1/1977,4217863819 
1/1/1978,4292097508 
1/1/1979,4368539472 
1/1/1980,4447606208 
1/1/1981,4528777285 
1/1/1982,4612673436 
1/1/1983,4697327604 
1/1/1984,4782175500 
1/1/1985,4868943460 
1/1/1986,4958072822 
1/1/1987,5049746378 
1/1/1988,5141992550 
1/1/1989,5234431714 
1/1/1990,5327803075 
1/1/1991,5418735879 
1/1/1992,5505989821 
1/1/1993,5591544841 
1/1/1994,5675551281 
1/1/1995,5758878997 
1/1/1996,5842055726 
1/1/1997,5924787787 
1/1/1998,6007066714 
1/1/1999,6089006330 
1/1/2000,6171703018 
1/1/2001,6254936479 
1/1/2002,6337730319 
1/1/2003,6420361649 
1/1/2004,6503377778 
1/1/2005,6586970145 
1/1/2006,6671452018 
1/1/2007,6757308750 
1/1/2008,6844457675 
1/1/2009,6932766459 
1/1/2010,7021732131 
1/1/2011,7110923797 
1/1/2012,7201202531 
1/1/2013,7291793608 
1/1/2014,7381616239 
1/1/2015,7470491904 
1/1/2016,7558554580 
1/1/2017,7645618013 
1/1/2018,7729902724 
1/1/2019,7811293714 
1/1/2020,7887001284 
1/1/2021,7954448405 
1/1/2022,8021407170 
1/1/2023,8091734935 